Position,artists,track_name,Days,Top 10 (xTimes),Peak Position,Peak Position (xTimes),Peak Streams,Total Streams,viral_on_tiktok
6,travis scott,goosebumps,1995,4.0,8,0,977275,672972704,Да
13,travis scott,sicko mode,1046,190.0,1,(x19),4129691,586638599,Да
17,glass animals,heat waves,763,248.0,1,(x34),1230046,540754791,Да
19,roddy ricch,the box,650,197.0,1,(x85),3781452,504210201,Да
24,olivia rodrigo,good 4 u,547,187.0,1,(x53),4974833,454100610,Да
32,harry styles,watermelon sugar,988,65.0,3,(x3),1609066,409073262,Да
35,the neighbourhood,sweater weather,1050,0.0,12,0,671844,400804036,Да
41,billie eilish,bad guy,652,108.0,1,(x20),2931099,385813103,Да
49,lil mosey,blueberry faygo,603,152.0,2,(x12),1428849,355016723,Да
52,harry styles,as it was,273,203.0,1,(x40),5953134,348668080,Да
54,ariana grande,7 rings,559,72.0,1,(x34),3961641,332694161,Да
58,lizzo,truth hurts,535,161.0,2,(x3),1400026,321459791,Да
66,arizona zervas,roxanne,536,123.0,1,(x23),1676128,314843202,Да
69,blackbear,hot girl bummer,742,45.0,5,0,1032214,312411378,Да
81,travis scott,highest in the room,602,69.0,1,(x21),3939490,295198938,Да
82,lil tecca,ransom,465,110.0,1,(x26),1833927,292578295,Да
86,lil nas x,montero (call me by your name),410,123.0,1,(x11),2378862,288187067,Да
91,dua lipa,don't start now,646,47.0,4,0,1220899,284754771,Да
94,dababy,bop,622,76.0,1,(x1),1601147,277705797,Да
95,lil uzi vert,20 min,1012,0.0,45,0,401156,277454899,Да
106,sza,good days,604,83.0,1,(x3),1387122,270125295,Да
107,doja cat,need to know,460,72.0,3,(x3),1245936,268475081,Да
128,steve lacy,dark red,513,0.0,11,0,649193,249198471,Да
140,steve lacy,bad habit,183,136.0,1,(x66),1691327,239087671,Да
141,jack harlow,whats poppin,519,89.0,2,(x12),1248272,238356467,Да
147,bobby helms,jingle bell rock,335,98.0,1,(x1),4516839,235335220,Да
149,trevor daniel,falling,455,76.0,4,0,1101319,234818302,Да
